title,company,location,text,publish_date,link
Software Engineer - Identity Management for Canonical Products,Canonical,"León, Guanajuato, Mexico",,2024-03-19,https://mx.linkedin.com/jobs/view/software-engineer-identity-management-for-canonical-products-at-canonical-3861141068?position=2&pageNum=2&refId=8T4Utk%2FhIdLBA3njYENDsQ%3D%3D&trackingId=UfsZST3B%2FjTNb8Bh2NIX5g%3D%3D&trk=public_jobs_jserp-result_search-card
Desarrollador Cobol Unisys/Remoto,NTT DATA Europe & Latam,"León, Mexico Metropolitan Area",Actively Hiring,2024-05-09,https://mx.linkedin.com/jobs/view/desarrollador-cobol-unisys-remoto-at-ntt-data-europe-latam-3920021535?position=3&pageNum=2&refId=8T4Utk%2FhIdLBA3njYENDsQ%3D%3D&trackingId=sQ6SlW5%2FgVrOx%2BSFNSHh9A%3D%3D&trk=public_jobs_jserp-result_search-card
"Typescript/NextJS Frontend Developer - Remote, Full-Time",Bluelight Consulting | DevOps & Software Development,"León, Guanajuato, Mexico",,2024-02-10,https://mx.linkedin.com/jobs/view/typescript-nextjs-frontend-developer-remote-full-time-at-bluelight-consulting-devops-software-development-3822619433?position=4&pageNum=2&refId=8T4Utk%2FhIdLBA3njYENDsQ%3D%3D&trackingId=A23RamCQGraV7oRH13pvZw%3D%3D&trk=public_jobs_jserp-result_search-card
Programador/a Dynamics 365 CRM Sales,Antal International,"León, Guanajuato, Mexico",Actively Hiring,2024-04-24,https://mx.linkedin.com/jobs/view/programador-a-dynamics-365-crm-sales-at-antal-international-3910162143?position=5&pageNum=2&refId=8T4Utk%2FhIdLBA3njYENDsQ%3D%3D&trackingId=UzrRAqmfsZsW0YYKYUMHsQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Data Infrastructure - Kafka,Canonical,"León, Guanajuato, Mexico",,2024-03-07,https://mx.linkedin.com/jobs/view/software-engineer-data-infrastructure-kafka-at-canonical-3848358591?position=6&pageNum=2&refId=8T4Utk%2FhIdLBA3njYENDsQ%3D%3D&trackingId=DhCyW1jQxpSJPVZpch9zGQ%3D%3D&trk=public_jobs_jserp-result_search-card
"NodeJS Developer - Remote, Latin America",Bluelight Consulting | DevOps & Software Development,"León, Guanajuato, Mexico",,2023-03-29,https://mx.linkedin.com/jobs/view/nodejs-developer-remote-latin-america-at-bluelight-consulting-devops-software-development-3575094517?position=7&pageNum=2&refId=8T4Utk%2FhIdLBA3njYENDsQ%3D%3D&trackingId=9hcc%2Ff2zJur3%2FyRibQTmbw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Robotics Simulation,Lumenalta (formerly Clevertech),"León, Guanajuato, Mexico",Actively Hiring,2024-05-16,https://mx.linkedin.com/jobs/view/software-engineer-robotics-simulation-at-lumenalta-formerly-clevertech-3928102411?position=8&pageNum=2&refId=8T4Utk%2FhIdLBA3njYENDsQ%3D%3D&trackingId=uNcc%2FmuQjV6O8U7IJwqd6A%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Juju Software Engineer (Go),Canonical,"León, Guanajuato, Mexico",,2024-02-02,https://mx.linkedin.com/jobs/view/senior-juju-software-engineer-go-at-canonical-3816154878?position=9&pageNum=2&refId=8T4Utk%2FhIdLBA3njYENDsQ%3D%3D&trackingId=GbLv3yXFZhk65A%2BgX2VydQ%3D%3D&trk=public_jobs_jserp-result_search-card
Desarrollador Cobol/Microfocus,NTT DATA Europe & Latam,"León, Mexico Metropolitan Area",Actively Hiring,2024-04-23,https://mx.linkedin.com/jobs/view/desarrollador-cobol-microfocus-at-ntt-data-europe-latam-3907133538?position=10&pageNum=2&refId=8T4Utk%2FhIdLBA3njYENDsQ%3D%3D&trackingId=fj2JYFSqPbgWQcwO5YW4Qw%3D%3D&trk=public_jobs_jserp-result_search-card
Embedded & Desktop Linux Systems Engineer - Optimisation,Canonical,"León, Guanajuato, Mexico",,2024-02-20,https://mx.linkedin.com/jobs/view/embedded-desktop-linux-systems-engineer-optimisation-at-canonical-3834326070?position=1&pageNum=5&refId=5wed%2FryVft3UA5OssotY2w%3D%3D&trackingId=73VCJ0XBoNZR6x28Or3Q4w%3D%3D&trk=public_jobs_jserp-result_search-card
